package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
remotes,2.5.0,2.5.0,C:/Users/echang/AppData/Local/R/win-library/4.5/remotes,C:/Users/echang/AppData/Local/R/win-library/4.5/remotes,FALSE,FALSE,2024-03-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rentrez,1.2.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rentrez,NA,FALSE,FALSE,2025-06-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
reshape2,1.4.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/reshape2,NA,FALSE,FALSE,2025-11-12,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rex,1.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rex,NA,FALSE,FALSE,2021-11-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rgbif,3.8.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rgbif,NA,FALSE,FALSE,2025-11-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rio,1.2.4,1.2.4,C:/Users/echang/AppData/Local/R/win-library/4.5/rio,C:/Users/echang/AppData/Local/R/win-library/4.5/rio,FALSE,FALSE,2025-09-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
ritis,1.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/ritis,NA,FALSE,FALSE,2021-02-02,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rlang,1.1.6,1.1.6,C:/Users/echang/AppData/Local/R/win-library/4.5/rlang,C:/Users/echang/AppData/Local/R/win-library/4.5/rlang,FALSE,FALSE,2025-04-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rmarkdown,2.30,2.30,C:/Users/echang/AppData/Local/R/win-library/4.5/rmarkdown,C:/Users/echang/AppData/Local/R/win-library/4.5/rmarkdown,FALSE,FALSE,2025-09-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rncl,0.8.8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rncl,NA,FALSE,FALSE,2025-12-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rotl,3.1.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rotl,NA,FALSE,FALSE,2023-06-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
roxygen2,7.3.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/roxygen2,NA,FALSE,FALSE,2025-09-03,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rpart,4.1.24,NA,C:/Program Files/R/R-4.5.1/library/rpart,NA,FALSE,FALSE,2025-01-07,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
rprojroot,2.1.1,2.1.1,C:/Users/echang/AppData/Local/R/win-library/4.5/rprojroot,C:/Users/echang/AppData/Local/R/win-library/4.5/rprojroot,FALSE,FALSE,2025-08-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rrapply,1.2.8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rrapply,NA,FALSE,FALSE,2025-11-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rredlist,1.1.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rredlist,NA,FALSE,FALSE,2025-09-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rstan,2.32.7,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rstan,NA,FALSE,FALSE,2025-03-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rstanarm,2.32.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rstanarm,NA,FALSE,FALSE,2025-09-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rstantools,2.5.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rstantools,NA,FALSE,FALSE,2025-09-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rstatix,0.7.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rstatix,NA,FALSE,FALSE,2025-10-18,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rstudioapi,0.17.1,0.17.1,C:/Users/echang/AppData/Local/R/win-library/4.5/rstudioapi,C:/Users/echang/AppData/Local/R/win-library/4.5/rstudioapi,FALSE,FALSE,2024-10-22,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
rversions,3.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/rversions,NA,FALSE,FALSE,2025-10-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
s2,1.1.9,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/s2,NA,FALSE,FALSE,2025-05-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
S7,0.2.1,0.2.1,C:/Users/echang/AppData/Local/R/win-library/4.5/S7,C:/Users/echang/AppData/Local/R/win-library/4.5/S7,FALSE,FALSE,2025-11-14,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
sass,0.4.10,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/sass,NA,FALSE,FALSE,2025-04-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
scales,1.4.0,1.4.0,C:/Users/echang/AppData/Local/R/win-library/4.5/scales,C:/Users/echang/AppData/Local/R/win-library/4.5/scales,FALSE,FALSE,2025-04-24,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
scatterplot3d,0.3-44,0.3-44,C:/Users/echang/AppData/Local/R/win-library/4.5/scatterplot3d,C:/Users/echang/AppData/Local/R/win-library/4.5/scatterplot3d,FALSE,FALSE,2023-05-05,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
secretbase,1.0.5,1.0.5,C:/Users/echang/AppData/Local/R/win-library/4.5/secretbase,C:/Users/echang/AppData/Local/R/win-library/4.5/secretbase,FALSE,FALSE,2025-03-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
servr,0.32,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/servr,NA,FALSE,FALSE,2024-10-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
sessioninfo,1.2.3,1.2.3,C:/Users/echang/AppData/Local/R/win-library/4.5/sessioninfo,C:/Users/echang/AppData/Local/R/win-library/4.5/sessioninfo,FALSE,FALSE,2025-02-05,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
sf,1.0-23,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/sf,NA,FALSE,FALSE,2025-11-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
sfheaders,0.4.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/sfheaders,NA,FALSE,FALSE,2025-11-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
shiny,1.12.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/shiny,NA,FALSE,FALSE,2025-12-09,CRAN (R 4.5.1),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
shinyjs,2.1.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/shinyjs,NA,FALSE,FALSE,2021-12-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
shinystan,2.6.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/shinystan,NA,FALSE,FALSE,2022-03-03,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
shinythemes,1.2.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/shinythemes,NA,FALSE,FALSE,2021-01-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
slippymath,0.3.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/slippymath,NA,FALSE,FALSE,2019-06-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
snakecase,0.11.1,0.11.1,C:/Users/echang/AppData/Local/R/win-library/4.5/snakecase,C:/Users/echang/AppData/Local/R/win-library/4.5/snakecase,FALSE,FALSE,2023-08-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
snow,0.4-4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/snow,NA,FALSE,FALSE,2021-10-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
SnowballC,0.7.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/SnowballC,NA,FALSE,FALSE,2023-04-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
snowfall,1.84-6.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/snowfall,NA,FALSE,FALSE,2023-11-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
solrium,1.2.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/solrium,NA,FALSE,FALSE,2021-05-19,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
sourcetools,0.1.7-1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/sourcetools,NA,FALSE,FALSE,2023-02-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
sp,2.2-0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/sp,NA,FALSE,FALSE,2025-02-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
spacesXYZ,1.6-0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/spacesXYZ,NA,FALSE,FALSE,2025-06-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
SparseM,1.84-2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/SparseM,NA,FALSE,FALSE,2024-07-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
splines,4.5.1,NA,C:/PROGRA~1/R/R-45~1.1/library/splines,NA,FALSE,TRUE,2025-06-13,local,NA,NA
StanHeaders,2.32.10,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/StanHeaders,NA,FALSE,FALSE,2024-07-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
stars,0.6-8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/stars,NA,FALSE,FALSE,2025-02-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
stats,4.5.1,4.5.1,C:/PROGRA~1/R/R-45~1.1/library/stats,C:/Program Files/R/R-4.5.1/library/stats,TRUE,TRUE,2025-06-13,local,NA,C:/Program Files/R/R-4.5.1/library
stats4,4.5.1,NA,C:/PROGRA~1/R/R-45~1.1/library/stats4,NA,FALSE,TRUE,2025-06-13,local,TRUE,NA
stringdist,0.9.15,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/stringdist,NA,FALSE,FALSE,2025-01-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
stringi,1.8.7,1.8.7,C:/Users/echang/AppData/Local/R/win-library/4.5/stringi,C:/Users/echang/AppData/Local/R/win-library/4.5/stringi,FALSE,FALSE,2025-03-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
stringr,1.6.0,1.6.0,C:/Users/echang/AppData/Local/R/win-library/4.5/stringr,C:/Users/echang/AppData/Local/R/win-library/4.5/stringr,FALSE,FALSE,2025-11-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
survival,3.8-3,NA,C:/Program Files/R/R-4.5.1/library/survival,NA,FALSE,FALSE,2024-12-17,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
sys,3.4.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/sys,NA,FALSE,FALSE,2024-10-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
systemfonts,1.3.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/systemfonts,NA,FALSE,FALSE,2025-10-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tarchetypes,0.13.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tarchetypes,NA,FALSE,FALSE,2025-09-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
targets,1.11.4,1.11.4,C:/Users/echang/AppData/Local/R/win-library/4.5/targets,C:/Users/echang/AppData/Local/R/win-library/4.5/targets,TRUE,FALSE,2025-09-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
taxadb,0.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/taxadb,NA,FALSE,FALSE,2023-03-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
taxize,0.10.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/taxize,NA,FALSE,FALSE,2025-02-07,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tensorA,0.36.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tensorA,NA,FALSE,FALSE,2023-12-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
terra,1.8-86,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/terra,NA,FALSE,FALSE,2025-11-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
testthat,3.3.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/testthat,NA,FALSE,FALSE,2025-11-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
textshaping,1.0.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/textshaping,NA,FALSE,FALSE,2025-10-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
threejs,0.3.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/threejs,NA,FALSE,FALSE,2025-04-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tibble,3.3.0,3.3.0,C:/Users/echang/AppData/Local/R/win-library/4.5/tibble,C:/Users/echang/AppData/Local/R/win-library/4.5/tibble,FALSE,FALSE,2025-06-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tidyr,1.3.1,1.3.1,C:/Users/echang/AppData/Local/R/win-library/4.5/tidyr,C:/Users/echang/AppData/Local/R/win-library/4.5/tidyr,FALSE,FALSE,2024-01-24,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tidyselect,1.2.1,1.2.1,C:/Users/echang/AppData/Local/R/win-library/4.5/tidyselect,C:/Users/echang/AppData/Local/R/win-library/4.5/tidyselect,FALSE,FALSE,2024-03-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tidytext,0.4.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tidytext,NA,FALSE,FALSE,2025-07-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
timechange,0.3.0,0.3.0,C:/Users/echang/AppData/Local/R/win-library/4.5/timechange,C:/Users/echang/AppData/Local/R/win-library/4.5/timechange,FALSE,FALSE,2024-01-18,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
timeDate,4051.111,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/timeDate,NA,FALSE,FALSE,2025-10-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tinytex,0.58,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tinytex,NA,FALSE,FALSE,2025-11-19,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tmap,4.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tmap,NA,FALSE,FALSE,2025-09-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tmaptools,3.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tmaptools,NA,FALSE,FALSE,2025-07-24,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tokenizers,0.3.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tokenizers,NA,FALSE,FALSE,2022-12-22,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tools,4.5.1,4.5.1,C:/PROGRA~1/R/R-45~1.1/library/tools,C:/Program Files/R/R-4.5.1/library/tools,FALSE,TRUE,2025-06-13,local,NA,C:/Program Files/R/R-4.5.1/library
traitdata,0.0.1,0.0.1,C:/Users/echang/AppData/Local/R/win-library/4.5/traitdata,C:/Users/echang/AppData/Local/R/win-library/4.5/traitdata,TRUE,FALSE,2025-12-12,Github (RS-eco/traitdata@5560f5a609e2c891c23c36ae0cc25c56c81c64ac),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
triebeard,0.4.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/triebeard,NA,FALSE,FALSE,2023-03-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tseries,0.10-58,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/tseries,NA,FALSE,FALSE,2024-09-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
TTR,0.24.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/TTR,NA,FALSE,FALSE,2023-11-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
tzdb,0.5.0,0.5.0,C:/Users/echang/AppData/Local/R/win-library/4.5/tzdb,C:/Users/echang/AppData/Local/R/win-library/4.5/tzdb,FALSE,FALSE,2025-03-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
units,1.0-0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/units,NA,FALSE,FALSE,2025-10-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
urca,1.3-4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/urca,NA,FALSE,FALSE,2024-05-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
urlchecker,1.0.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/urlchecker,NA,FALSE,FALSE,2021-11-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
urltools,1.7.3.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/urltools,NA,FALSE,FALSE,2025-06-12,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
usethis,3.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/usethis,NA,FALSE,FALSE,2025-09-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
utf8,1.2.6,1.2.6,C:/Users/echang/AppData/Local/R/win-library/4.5/utf8,C:/Users/echang/AppData/Local/R/win-library/4.5/utf8,FALSE,FALSE,2025-06-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
utils,4.5.1,4.5.1,C:/PROGRA~1/R/R-45~1.1/library/utils,C:/Program Files/R/R-4.5.1/library/utils,TRUE,TRUE,2025-06-13,local,NA,C:/Program Files/R/R-4.5.1/library
vctrs,0.6.5,0.6.5,C:/Users/echang/AppData/Local/R/win-library/4.5/vctrs,C:/Users/echang/AppData/Local/R/win-library/4.5/vctrs,FALSE,FALSE,2023-12-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
viridis,0.6.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/viridis,NA,FALSE,FALSE,2024-01-29,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
viridisLite,0.4.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/viridisLite,NA,FALSE,FALSE,2023-05-02,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
vroom,1.6.7,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/vroom,NA,FALSE,FALSE,2025-11-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
waldo,0.6.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/waldo,NA,FALSE,FALSE,2025-07-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
whisker,0.4.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/whisker,NA,FALSE,FALSE,2022-12-05,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
WikidataQueryServiceR,1.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/WikidataQueryServiceR,NA,FALSE,FALSE,2020-06-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
WikidataR,2.3.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/WikidataR,NA,FALSE,FALSE,2021-11-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
WikipediR,1.7.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/WikipediR,NA,FALSE,FALSE,2024-04-05,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
wikitaxa,0.4.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/wikitaxa,NA,FALSE,FALSE,2020-06-29,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
withr,3.0.2,3.0.2,C:/Users/echang/AppData/Local/R/win-library/4.5/withr,C:/Users/echang/AppData/Local/R/win-library/4.5/withr,FALSE,FALSE,2024-10-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
wk,0.9.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/wk,NA,FALSE,FALSE,2024-10-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
worrms,0.4.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/worrms,NA,FALSE,FALSE,2023-06-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
writexl,1.5.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/writexl,NA,FALSE,FALSE,2025-04-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xfun,0.54,0.54,C:/Users/echang/AppData/Local/R/win-library/4.5/xfun,C:/Users/echang/AppData/Local/R/win-library/4.5/xfun,FALSE,FALSE,2025-10-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
XML,3.99-0.20,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/XML,NA,FALSE,FALSE,2025-11-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xml2,1.5.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/xml2,NA,FALSE,FALSE,2025-12-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xopen,1.0.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/xopen,NA,FALSE,FALSE,2024-04-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xtable,1.8-4,1.8-4,C:/Users/echang/AppData/Local/R/win-library/4.5/xtable,C:/Users/echang/AppData/Local/R/win-library/4.5/xtable,FALSE,FALSE,2019-04-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xts,0.14.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/xts,NA,FALSE,FALSE,2024-10-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
yaml,2.3.11,2.3.11,C:/Users/echang/AppData/Local/R/win-library/4.5/yaml,C:/Users/echang/AppData/Local/R/win-library/4.5/yaml,FALSE,FALSE,2025-11-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
zip,2.3.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/zip,NA,FALSE,FALSE,2025-05-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
zoo,1.8-14,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/zoo,NA,FALSE,FALSE,2025-04-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
